,precision,recall,f1-score,support
DoS,0.9597872007510562,0.8222520107238606,0.8857122229441917,7460.0
normal,0.7021945921653808,0.965400061785604,0.8130257566559709,9711.0
Probe,0.6855949895615866,0.6782321354812061,0.6818936877076412,2421.0
R2L,0.9635761589403974,0.10086655112651646,0.182616881079385,2885.0
U2R,0.20952380952380953,0.3283582089552239,0.2558139534883721,67.0
accuracy,0.7746628814762243,0.7746628814762243,0.7746628814762243,0.7746628814762243
macro avg,0.7041353501884461,0.5790217936144822,0.5638125003751122,22544.0
weighted avg,0.8176368428686405,0.7746628814762243,0.740665372639627,22544.0
